name_director;id_director
Martin Scorsese;288
Gil Baroni;289
J. Michael Long;290
Jeremiah Jones;291
Stephen Chiodo;292
Sean McNamara;293
Susan Glatzer;294
Eva Vives;295
Adrian Teh;296
Joe Robert Cole;297
Don Bluth;298
Víctor García;299
Charlie Vaughn;300
Hao Wu;301
Chris Blake;302
Dan Villegas;303
Brett Haley;304
Matthew Hope;305
Yibrán Asuad;306
Pedro Coutinho;307
Vincent Kok;308
Eva Trobisch;309
Susan Walter;310
Hernán Guerschuny;311
Mike Doyle;312
Vincent Perez;313
Antoinette Jadaone;314
Lee Tamahori;315
Richard Rich;316
Greg Kohs;317
Adam Bhala Lough;318
Takeru Nakajima;319
Trey Haley;320
Rod Blackhurst;321
Lee Hirsch;322
Esteban Crespo;323
Atul Malhotra;324
Manmohan Desai;325
Khaled Youssef;326
Ryan Koo;327
Edward Cotterill;328
Charlie Siskel;329
Michael Cuesta;330
Sam Mendes;331
Brendon Marotta;332
Barak Goodman;333
Sharon Grimberg;334
Mark Zwonitzer;335
Wilson Coneybeare;336
Sarik Andreasyan;337
Tony Kaye;338
Andrea Arnold;339
Nick Davis;340
Jenny Popplewell;341
Mike Elliott;342
Mary Harron;343
Kenny Leon;344
Jerry G. Angelo;345
Lekh Tandon;346
Asif Kapadia;347
Amy Schumer;348
Karan Bali;349
Phil Nibbelink;350
Larry Latham;351
Rebecca Zlotowski;352
Jim Hosking;353
Wael Ehsan;354
James Toback;355
Perry Lang;356
Brad Silberling;357
Juan Camilo Pinzon;358
Ismail Farouk;359
Matheus Souza;360
Sekhar Kammula;361
Avinash Das;362
Carlos Marques-Marcet;363
Lonzo Nzekwe;364
Ísold Uggadóttir;365
Sriram Raghavan;366
V Vignarajan;367
Josiah Ng;368
Franck Nataf;369
Tim Blake Nelson;370
Lijo Jose Pellissery;371
Luis Mandoki;372
Ric Roman Waugh;373
Damien O’Connor;374
Ron Howard;375
Pan Nalin;376
Abhijeet Deshpande;377
Paul Thomas Anderson;378
Tony Bancroft;379
Han Yan;380
Laura Alvea;381
Andrucha Waddington;382
N. Linguswamy;383
Rajat Kapoor;384
Sohail Tatari;385
Paul Serafini;386
Andrew Niccol;387
Juan Zapata;388
Peyton Reed;389
Sherif Ismail;390
Anirban Majumder;391
Marcus Raboy;392
Adam Dubin;393
Raj Kaushal;394
Ken Barbet;395
Manish Jha;396
David Salzberg;397
J.F. Musial;398
Gonzalo López-Gallego;399
Gareth Evans;400
Christian Desmares;401
Jean-Patrick Benes;402
Christopher Chambers;403
Aaron Woodley;404
Marie Madinier;405
Khaled El Halafawy;406
August Jakobsson;407
Eric Abrams;408
Paul Dugdale;409
Nia Dinata;410
Arnab Chaudhuri;411
Tony Elliott;412
James Bamford;413
Brian Volk-Weiss;414
Jason Winer;415
Sarah Smith;416
Anubhav Sinha;417
Edwin;418
John Erick Dowdle;419
James L. Brooks;420
Samit Kakkad;421
Rana Ranbir;422
Santosh Sivan;423
Alex Lehmann;424
Hallvard Bræin;425
John Murlowski;426
Ricardo Maldonado;427
A. Raajdheep;428
Sung-soo Kim;429
Mike Nicoll;430
Jason Stone;431
Bonni Cohen;432
Mati Diop;433
John Putch;434
Mez Tharatorn;435
David Morris;436
Fabrizio Copano;437
Cristi Puiu;438
Mike Rossiter;439
Jay Roach;440
Rohit Mittal;441
Gabe Ibáñez;442
Tate Taylor;443
Ertanto Robby Soediskam;444
Jesse V. Johnson;445
Anthony Russo;446
Levan Tsikurishvili;447
Johnny Kevorkian;448
Aleksandr Chernyaev;449
Prasanth Varma;450
Nicholas Kharkongor;451
Gangadhar Salimath;452
Enrique García Meza;453
Kwabena Gyansah;454
Anthony D'Souza;455
Aziz Ansari;456
Will Lovelace;457
Spike Jonze;458
Ajay Bahl;459
Shadab Khan;460
Milan Luthria;461
Sabir Khan;462
S.S. Rajamouli;463
Gauravv K Chawla;464
Çagan Irmak;465
Müfit Can Saçıntı;466
Alejandro G. Iñárritu;467
Vijay Kumar Arora;468
Stephanie Zwane;469
Shikha Makan;470
José Eduardo Belmonte;471
Louise Alston;472
Rémy Four;473
Yanyong Kuruaungkoul;474
Adam MacDonald;475
Dave Patten;476
Michael Petroni;477
Chris Baugh;478
Nattawut Poonpiriya;479
Jeff Tremaine;480
David Chirchirillo;481
Salima Koroma;482
Kheiron;483
Sumitra Bhave;484
Sujoy Ghosh;485
Justin Lee;486
Vijay S. Bhanushali;487
Simon Wells;488
Phil Weinstein;489
Haissam Hussain;490
Burak Aksak;491
BB Sasore;492
Ben Kasulke;493
Zoe Lister-Jones;494
Aaron Nee;495
Alo Sarkar;496
Tanit Jitnukul;497
Karan Anshuman;498
Manop Janjarasskul;499
Adisorn Tresirikasem;500
Jordi Llompart;501
Raja Menon;502
Mahmoud Sabbagh;503
Matthew Salleh;504
Conrad Helten;505
Adam Wood;506
Zeke Norton;507
Karen J. Lloyd;508
Andrew Tan;509
William Lau;510
Ezekiel Norton;511
Barbra Streisand;512
Olivia M. Lamasan;513
Ashwiny Iyer Tiwari;514
Kyle Newman;515
Anurag Basu;516
